,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
0,triangles rewiring,er,100,0.1,0.0,0.35,0.0,1000000,29.63333333333333,5.9804310509824905,30,28.93333333333333,1.4817407180595248,1.0,0.0,0.4634899501653708,1.7298200034649448e-06,0.4634898748440862,0.0,0.0,0.0
1,triangles rewiring,er,100,0.1,0.0,0.35,0.5,1000000,112.26666666666668,222.8983226097097,30,60.375,8.830876230590029,1.0,0.0,0.4976901137137278,1.7016937407447928e-06,0.49769024169117493,0.0,0.0,0.0
2,triangles rewiring,er,100,0.1,0.0,0.35,1.0,1000000,617.1666666666666,631.2942305736333,30,431.6428571428572,233.69290200812603,1.0107733115690676,0.0100775102031047,0.5036930473953848,0.014262634516571891,0.5037830752099643,0.02613404936559543,0.02793847395859856,0.011385574816138956
3,triangles rewiring,er,100,0.1,0.0,0.35,1.5,1000000,356.83333333333326,352.9134061242534,30,226.7142857142857,94.2916664787877,1.0201999591920017,0.0,0.5041790554610125,0.028389316488368156,0.5043885968521649,0.04853466310753439,0.01903686109776689,0.02114463894425807
4,triangles rewiring,er,100,0.1,0.1,0.35,0.0,1000000,24.566666666666666,3.3434845429415234,30,24.35294117647059,1.0814574300500142,1.0,0.0,0.505234225812875,2.386065706922601e-06,0.5052342119922294,0.0,0.0,0.0
5,triangles rewiring,er,100,0.1,0.1,0.35,0.5,1000000,237.7,344.09050650470823,30,79.57142857142857,15.430555427991779,1.0,0.0,0.5121079048519955,1.3605182803296995e-06,0.5121078540536785,0.0,0.0,0.0
6,triangles rewiring,er,100,0.1,0.1,0.35,1.0,1000000,548.6333333333333,660.1213263905017,30,294.07142857142856,187.5303648882016,1.0154866353805347,0.008543624950720979,0.5281710879420226,0.026522372893513373,0.5295126321272078,0.0410677918602214,0.024764810285230174,0.017891617568218363
7,triangles rewiring,er,100,0.1,0.1,0.35,1.5,1000000,279.3333333333333,241.66799999632187,30,201.5,65.09964889086795,1.0188532952458682,0.0050387551015523505,0.4659871237793202,0.026612133001295054,0.4649315960921774,0.04666794529570614,0.020870539610288084,0.020331383600248144
8,triangles rewiring,er,100,0.1,0.2,0.35,0.0,1000000,29.966666666666665,5.243938299492939,30,29.714285714285715,2.084931359903775,1.0,0.0,0.4887539321058885,1.8453831144920242e-06,0.4887539676178566,0.0,0.0,0.0
9,triangles rewiring,er,100,0.1,0.2,0.35,0.5,1000000,126.3,151.69709951083442,30,61.6875,10.924277722119665,1.0,0.0,0.5332741205634987,1.4266344487788625e-06,0.5332740044901235,0.0,0.0,0.0
10,triangles rewiring,er,100,0.1,0.2,0.35,1.0,1000000,784.7666666666668,1996.5382654874304,30,118.57142857142857,94.02713459856324,1.0161599673536017,0.008079983676800672,0.5509982337823306,0.027055538267620097,0.5523667479141561,0.04293450967204964,0.02368599370152094,0.018704872912228287
11,triangles rewiring,er,100,0.1,0.2,0.35,1.5,1000000,132.6,143.8034770094242,30,84.5,13.271209439986995,1.019526627218935,0.003626003644877353,0.4774118980023146,0.023863794630313982,0.4775745917522797,0.04853466310753439,0.01903686109776689,0.02114463894425807
