,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
0,triangles rewiring,ba,100,5,0.5,0.2,0.0,100000,169.7,92.4392232767022,10,157.0,28.53944638566067,1.193455953253041,0.041804497634114,0.5074028790727402,0.1282774504611223,0.5096520080980043,0.39484897045820805,0.0452845711862389,0.17243730847786276
1,triangles rewiring,ba,100,5,0.5,0.2,0.4,100000,1403.4,689.3196936110269,10,1259.0,128.7206277175496,1.1682773097891863,0.0438108025079104,0.4406862509781933,0.1135158985694816,0.438330932692097,0.3818229698128369,0.08077658526958234,0.1667486308832065
2,triangles rewiring,ba,100,5,0.5,0.2,0.8,100000,28852.9,23103.969660861312,10,22796.0,9664.2265857129,1.011296295825029,0.0074444540244428,0.5102826132840061,0.0256853714991823,0.5122106763291931,0.03407033797616027,0.020360025493939764,0.01487910016004972
3,triangles rewiring,ba,100,5,0.5,0.2,1.2,100000,52640.2,40675.27302870873,10,52009.75,28513.51012568428,1.027803730866807,0.0166672610503357,0.5761752693721214,0.0447233450689758,0.5757356790952699,0.07584711954063623,0.04151430029439876,0.03312373623314367
4,triangles rewiring,ba,100,5,0.5,0.2,1.6,100000,40574.0,48522.28190841812,10,57777.42857142857,48753.44407426044,1.0232338408274486,0.036008239145578,0.4648040216397063,0.0268666470714874,0.464118938206198,0.049392868674596316,0.06937802863788693,0.02157071176446036
5,triangles rewiring,ba,100,5,0.5,0.3,0.0,100000,39.7,3.407345007480165,10,40.2,1.939071942966532,1.001606399793555,0.0032127995871101,0.4816815677507223,0.0077995433644111,0.4811873393436287,0.0052155665966795075,0.010431133193359015,0.002277727266389445
6,triangles rewiring,ba,100,5,0.5,0.3,0.4,100000,195.5,156.72986314037283,10,142.5,3.640054944640259,1.0080319989677753,0.0,0.4738664965173324,0.022424640605025,0.474067224485209,0.026077832983397543,3.469446951953614e-18,0.011388636331947227
7,triangles rewiring,ba,100,5,0.5,0.3,0.8,100000,387.8,185.14037917212983,10,408.5,46.176292618615456,1.0080319989677753,0.0,0.5365923416919021,0.0185022829741498,0.536721027681832,0.026077832983397543,3.469446951953614e-18,0.011388636331947227
8,triangles rewiring,ba,100,5,0.5,0.3,1.2,100000,1152.9,1226.7914614962074,10,618.0,362.4410296862098,1.0112836093569275,0.003982393147878,0.5177058178110023,0.0211261253784774,0.5175901171231103,0.03650254045667212,0.012767607013650602,0.01594128464270379
9,triangles rewiring,ba,100,5,0.5,0.3,1.6,100000,20444.9,39779.069314024935,10,483.25,88.19970238045025,1.0153875044430711,0.0085569424533574,0.5100595430708833,0.0284486147055389,0.5101295409456829,0.044699499454125116,0.028139241590611375,0.019521037036597397
