,eps,gam,graph,mi,model,nc,nit,p,pr
0,0.2,0.0,er,100000,rewiring,1,0,0.1,0.5
1,0.2,0.0,er,100000,rewiring,2,1000,0.1,0.5
2,0.2,0.0,er,100000,rewiring,2,1410,0.1,0.5
3,0.2,0.0,er,100000,rewiring,2,500,0.1,0.5
4,0.2,0.5,er,100000,rewiring,1,0,0.1,0.5
5,0.2,0.5,er,100000,rewiring,1,1000,0.1,0.5
6,0.2,0.5,er,100000,rewiring,1,10000,0.1,0.5
7,0.2,0.5,er,100000,rewiring,1,10500,0.1,0.5
8,0.2,0.5,er,100000,rewiring,1,11000,0.1,0.5
9,0.2,0.5,er,100000,rewiring,1,11500,0.1,0.5
10,0.2,0.5,er,100000,rewiring,1,12000,0.1,0.5
11,0.2,0.5,er,100000,rewiring,1,12500,0.1,0.5
12,0.2,0.5,er,100000,rewiring,1,13000,0.1,0.5
13,0.2,0.5,er,100000,rewiring,1,13500,0.1,0.5
14,0.2,0.5,er,100000,rewiring,1,14000,0.1,0.5
15,0.2,0.5,er,100000,rewiring,1,14500,0.1,0.5
16,0.2,0.5,er,100000,rewiring,1,1500,0.1,0.5
17,0.2,0.5,er,100000,rewiring,1,15000,0.1,0.5
18,0.2,0.5,er,100000,rewiring,1,15500,0.1,0.5
19,0.2,0.5,er,100000,rewiring,1,16000,0.1,0.5
20,0.2,0.5,er,100000,rewiring,1,16500,0.1,0.5
21,0.2,0.5,er,100000,rewiring,1,17000,0.1,0.5
22,0.2,0.5,er,100000,rewiring,1,17500,0.1,0.5
23,0.2,0.5,er,100000,rewiring,1,18000,0.1,0.5
24,0.2,0.5,er,100000,rewiring,1,18500,0.1,0.5
25,0.2,0.5,er,100000,rewiring,1,19000,0.1,0.5
26,0.2,0.5,er,100000,rewiring,1,19500,0.1,0.5
27,0.2,0.5,er,100000,rewiring,1,2000,0.1,0.5
28,0.2,0.5,er,100000,rewiring,1,20000,0.1,0.5
29,0.2,0.5,er,100000,rewiring,1,20500,0.1,0.5
30,0.2,0.5,er,100000,rewiring,1,21000,0.1,0.5
