model,graph,n,p,pr,eps,gam,max_it
rewiring,er,100,0.1,0.0,0.35,0.0,1000000
rewiring,er,100,0.1,0.0,0.35,0.5,1000000
rewiring,er,100,0.1,0.0,0.35,1.0,1000000
rewiring,er,100,0.1,0.0,0.35,1.5,1000000
rewiring,er,100,0.1,0.1,0.35,0.0,1000000
rewiring,er,100,0.1,0.1,0.35,0.5,1000000
rewiring,er,100,0.1,0.1,0.35,1.0,1000000
rewiring,er,100,0.1,0.1,0.35,1.5,1000000
rewiring,er,100,0.1,0.2,0.35,0.0,1000000
rewiring,er,100,0.1,0.2,0.35,0.5,1000000
rewiring,er,100,0.1,0.2,0.35,1.0,1000000
rewiring,er,100,0.1,0.2,0.35,1.5,1000000
rewiring,er,100,0.1,0.3,0.35,0.0,1000000
rewiring,er,100,0.1,0.3,0.35,0.5,1000000
rewiring,er,100,0.1,0.3,0.35,1.0,1000000
rewiring,er,100,0.1,0.3,0.35,1.5,1000000
rewiring,er,100,0.1,0.4,0.35,0.0,1000000
rewiring,er,100,0.1,0.4,0.35,0.5,1000000
rewiring,er,100,0.1,0.4,0.35,1.0,1000000
rewiring,er,100,0.1,0.4,0.35,1.5,1000000
rewiring,er,100,0.1,0.5,0.35,0.0,1000000
rewiring,er,100,0.1,0.5,0.35,0.5,1000000
rewiring,er,100,0.1,0.5,0.35,1.0,1000000
rewiring,er,100,0.1,0.5,0.35,1.5,1000000
rewiring,er,100,0.1,0.6,0.35,0.0,1000000
rewiring,er,100,0.1,0.6,0.35,0.5,1000000
rewiring,er,100,0.1,0.6,0.35,1.0,1000000
rewiring,er,100,0.1,0.6,0.35,1.5,1000000
rewiring,er,100,0.1,0.7,0.35,0.0,1000000
rewiring,er,100,0.1,0.7,0.35,0.5,1000000
rewiring,er,100,0.1,0.7,0.35,1.0,1000000
rewiring,er,100,0.1,0.7,0.35,1.5,1000000
rewiring,er,100,0.1,0.8,0.35,0.0,1000000
rewiring,er,100,0.1,0.8,0.35,0.5,1000000
rewiring,er,100,0.1,0.8,0.35,1.0,1000000
rewiring,er,100,0.1,0.8,0.35,1.5,1000000
rewiring,er,100,0.1,0.9,0.35,0.0,1000000
rewiring,er,100,0.1,0.9,0.35,0.5,1000000
rewiring,er,100,0.1,0.9,0.35,1.0,1000000
rewiring,er,100,0.1,0.9,0.35,1.5,1000000
rewiring,er,100,0.1,1.0,0.35,0.0,1000000
rewiring,er,100,0.1,1.0,0.35,0.5,1000000
rewiring,er,100,0.1,1.0,0.35,1.0,1000000
rewiring,er,100,0.1,1.0,0.35,1.5,1000000
